EqpSV,,,,,
Name,ID,Type,Length,Unit,Definition
EQP_SV_100092,100092,ASCII,1000,N/A,Host S1F3 Set2 queried SV
EQP_SV_100093,100093,ASCII,1000,N/A,Host S1F3 Set2 queried SV
EQP_SV_100094,100094,ASCII,1000,N/A,Host S1F3 Set2 queried SV
LP1_Attr1,2026,UINT_1,1000,N/A,LoadPort 1 additional attribute
LP2_Attr1,2027,UINT_1,1000,N/A,LoadPort 2 additional attribute
LP1_Attr2,2028,UINT_1,1000,N/A,LoadPort 1 additional attribute
LP2_Attr2,2029,UINT_1,1000,N/A,LoadPort 2 additional attribute
STS_LOTID,100262,ASCII,1000,N/A,(E90-STS) Lot ID
STS_MATERIALSTATUS,100263,UINT_1,1000,N/A,(E90-STS) Material Status
STS_SUBSTDESTINATION,100264,ASCII,1000,N/A,(E90-STS) Subst Destination
STS_SUBSTHISTORY,100265,ASCII,1000,N/A,(E90-STS) Subst History
CMS_CARRIERIDSTATUS_1,100100,UINT_1,1000,N/A,(E87) Carrier ID Status
CMS_CARRIERACCESSINGSTATUS_1,100101,UINT_1,1000,N/A,(E87) Carrier Accessing Status
CMS_SUBSTRATECOUNT_1,100102,UINT_1,1000,N/A,(E87) Substrate Count
CMS_CONTENTMAP_1,100103,ASCII,1000,N/A,(E87) Content Map
CMS_SLOTMAP_1,100104,ASCII,1000,N/A,(E87) Slot Map
CMS_LOCATIONID_1,100105,ASCII,1000,N/A,(E87) Location ID
CMS_SLOTMAPSTATUS_1,100106,UINT_1,1000,N/A,(E87) Slot Map Status
CMS_USAGE_1,100107,ASCII,1000,N/A,(E87) Usage
EQP_SV_100108,100108,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100109,100109,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100110,100110,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100111,100111,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100112,100112,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100113,100113,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100114,100114,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100115,100115,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100116,100116,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100117,100117,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100118,100118,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100119,100119,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100120,100120,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100121,100121,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100122,100122,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100123,100123,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100124,100124,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100125,100125,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100126,100126,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100127,100127,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100128,100128,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100129,100129,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100130,100130,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100131,100131,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100132,100132,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100133,100133,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100134,100134,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100135,100135,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100136,100136,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100137,100137,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100138,100138,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100139,100139,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100140,100140,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100141,100141,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100142,100142,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100143,100143,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100144,100144,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100145,100145,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100146,100146,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100147,100147,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100148,100148,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100149,100149,ASCII,1000,N/A,Carrier/Substrate instance SV
EQP_SV_100150,100150,ASCII,1000,N/A,Carrier/Substrate instance SV
